date,contract,price
2021-01-01,XYZF1,47.00
2021-01-02,XYZF1,48.00
2021-01-03,XYZF1,49.00
2021-01-04,XYZF1,50.00
2021-01-05,XYZF1,51.00
2021-01-06,XYZF1,52.00
2021-01-07,XYZF1,53.00
2021-01-08,XYZF1,54.00
2021-01-01,XYZG1,52.00
2021-01-02,XYZG1,53.00
2021-01-03,XYZG1,54.00
2021-01-04,XYZG1,55.00
2021-01-05,XYZG1,56.00
2021-01-06,XYZG1,57.00
2021-01-07,XYZG1,58.00
2021-01-08,XYZG1,59.00
2021-01-09,XYZG1,60.00
2021-01-10,XYZG1,61.00
2021-01-01,XYZH1,57.00
2021-01-02,XYZH1,58.00
2021-01-03,XYZH1,59.00
2021-01-04,XYZH1,60.00
2021-01-05,XYZH1,61.00
2021-01-06,XYZH1,62.00
2021-01-07,XYZH1,63.00
2021-01-08,XYZH1,64.00
2021-01-09,XYZH1,65.00
2021-01-10,XYZH1,66.00
2021-02-04,XYZG1,65.00
2021-02-05,XYZG1,66.00
2021-02-06,XYZG1,65.00
2021-02-07,XYZG1,64.00
2021-02-08,XYZG1,63.00
2021-02-04,XYZH1,60.00
2021-02-05,XYZH1,61.00
2021-02-06,XYZH1,62.00
2021-02-07,XYZH1,63.00
2021-02-08,XYZH1,64.00
2021-02-09,XYZH1,65.00
2021-02-10,XYZH1,66.00
2021-01-01,A.BCF1,37.00
2021-01-02,A.BCF1,38.00
2021-01-03,A.BCF1,39.00
2021-01-04,A.BCF1,35.00
2021-01-05,A.BCF1,34.00
2021-01-06,A.BCF1,33.00
2021-01-07,A.BCF1,32.00
2021-01-08,A.BCF1,31.00
2021-01-01,A.BCG1,43.00
2021-01-02,A.BCG1,44.00
2021-01-03,A.BCG1,45.00
2021-01-04,A.BCG1,46.00
2021-01-05,A.BCG1,47.00
2021-01-06,A.BCG1,48.00
2021-01-07,A.BCG1,43.00
2021-01-08,A.BCG1,44.00
2021-01-09,A.BCG1,45.00
2021-01-10,A.BCG1,46.00
